Unnamed: 0,country,year,population,yearly_%_change,migrants,median_age,fertility_rate,density(P/Km²),urban_pop_%,rank
556,22,2017,19193234,2.93,-25000.0,17.1,5.56,70,28.7,60
1261,51,1980,4788243,0.29,-5875.0,32.8,1.66,16,71.7,97
1938,78,1995,77723,1.43,-887.0,19.6,4.55,96,36.4,199
2930,123,2019,37887768,-0.09,-29395.0,40.1,1.35,124,60.3,38
582,23,1985,4750837,2.71,-27829.0,16.9,7.38,185,5.2,101
3189,131,1975,95662,1.11,-1690.0,16.1,5.54,245,33.2,188
871,32,1965,1592841,3.66,1581.0,17.2,6.5,31,35.7,134
1084,43,1975,6994334,2.88,-1100.0,18.0,5.8,28,42.3,73
375,15,2020,12123200,2.73,-2000.0,18.8,4.87,108,48.4,77
2551,105,1970,817469,2.67,-216.0,18.4,6.3,1,21.3,146
2311,95,2010,3494195,2.93,2000.0,19.1,5.07,3,48.1,132
3745,159,1975,629227,1.94,0.0,19.7,5.5,42,15.4,154
260,10,1985,234578,2.18,129.0,21.8,3.05,23,76.7,177
2743,114,1990,1996228,0.15,-19764.0,29.2,2.27,79,57.8,142
726,28,1975,4088564,2.33,-9810.0,18.2,6.67,3,15.6,99
2979,125,1970,2631707,0.97,-26851.0,21.7,3.41,297,60.1,118
4026,170,1995,3224281,0.73,-4000.0,31.1,2.49,18,90.6,127
124,4,2019,97118,0.86,0.0,32.8,2.0,221,26.3,201
890,33,1960,3503553,3.12,20103.0,18.9,7.62,11,18.0,91
2442,100,1980,1689622,2.69,0.0,17.8,6.65,1,52.1,139
1933,78,2016,112524,1.44,-800.0,22.5,3.75,139,53.3,193
599,24,1990,337950,1.63,-5551.0,16.8,5.63,84,44.6,173
411,16,2019,763092,1.15,320.0,26.2,2.1,20,45.1,165
4040,171,2015,30929557,1.64,-13294.0,26.2,2.43,73,50.8,42
4019,170,2018,3449285,0.37,-3000.0,35.2,2.0,20,95.9,134
1154,47,1985,2003937,2.94,2000.0,17.7,6.7,20,21.6,136
590,24,2019,549935,1.13,-1342.0,25.6,2.45,136,67.4,172
3636,153,1980,6283832,-0.17,-27073.0,34.6,1.54,159,74.7,81
520,20,2017,424473,1.11,0.0,30.4,1.98,81,78.1,175
3240,133,1985,104924,1.84,-1200.0,15.9,6.24,109,37.6,191
4015,169,1960,33135,2.23,-107.0,21.1,5.49,95,56.5,203
1057,42,2016,10397741,1.13,-30000.0,26.8,2.43,215,81.4,87
2393,98,1960,191245,2.25,-1100.0,18.9,6.43,60,36.8,199
1521,62,2016,16583076,2.03,-9215.0,21.6,3.13,155,50.3,67
